FIPStxt,Stabr,Area_name,Attribute,Value
1103,AL,Morgan County,PCTPOVALL_2019,13.7
1103,AL,Morgan County,CI90LBALLP_2019,11.3
1103,AL,Morgan County,CI90UBALLP_2019,16.1
1103,AL,Morgan County,POV017_2019,5047
1103,AL,Morgan County,CI90LB017_2019,3722
1103,AL,Morgan County,CI90UB017_2019,6372
1103,AL,Morgan County,PCTPOV017_2019,18.8
1103,AL,Morgan County,CI90LB017P_2019,13.9
1103,AL,Morgan County,CI90UB017P_2019,23.7
1103,AL,Morgan County,POV517_2019,3374
1103,AL,Morgan County,CI90LB517_2019,2338
1103,AL,Morgan County,CI90UB517_2019,4410
1103,AL,Morgan County,PCTPOV517_2019,17.1
1103,AL,Morgan County,CI90LB517P_2019,11.9
1103,AL,Morgan County,CI90UB517P_2019,22.3
1103,AL,Morgan County,MEDHHINC_2019,54355
1103,AL,Morgan County,CI90LBINC_2019,51441
1103,AL,Morgan County,CI90UBINC_2019,57269
1105,AL,Perry County,Rural-urban_Continuum_Code_2003,8
1105,AL,Perry County,Urban_Influence_Code_2003,6
1105,AL,Perry County,Rural-urban_Continuum_Code_2013,8
1105,AL,Perry County,Urban_Influence_Code_2013,4
1105,AL,Perry County,POVALL_2019,2778
1105,AL,Perry County,CI90LBALL_2019,2071
1105,AL,Perry County,CI90UBALL_2019,3485
1105,AL,Perry County,PCTPOVALL_2019,33.9
1105,AL,Perry County,CI90LBALLP_2019,25.3
1105,AL,Perry County,CI90UBALLP_2019,42.5
1105,AL,Perry County,POV017_2019,851
1105,AL,Perry County,CI90LB017_2019,572
1105,AL,Perry County,CI90UB017_2019,1130
1105,AL,Perry County,PCTPOV017_2019,46.2
1105,AL,Perry County,CI90LB017P_2019,31
1105,AL,Perry County,CI90UB017P_2019,61.4
1105,AL,Perry County,POV517_2019,613
1105,AL,Perry County,CI90LB517_2019,396
1105,AL,Perry County,CI90UB517_2019,830
1105,AL,Perry County,PCTPOV517_2019,45.6
1105,AL,Perry County,CI90LB517P_2019,29.5
1105,AL,Perry County,CI90UB517P_2019,61.7
1105,AL,Perry County,MEDHHINC_2019,29572
1105,AL,Perry County,CI90LBINC_2019,25995
1105,AL,Perry County,CI90UBINC_2019,33149
1107,AL,Pickens County,Rural-urban_Continuum_Code_2003,8
1107,AL,Pickens County,Urban_Influence_Code_2003,6
1107,AL,Pickens County,Rural-urban_Continuum_Code_2013,3
1107,AL,Pickens County,Urban_Influence_Code_2013,2
1107,AL,Pickens County,POVALL_2019,4380
1107,AL,Pickens County,CI90LBALL_2019,3398
1107,AL,Pickens County,CI90UBALL_2019,5362
1107,AL,Pickens County,PCTPOVALL_2019,24.3
1107,AL,Pickens County,CI90LBALLP_2019,18.8
1107,AL,Pickens County,CI90UBALLP_2019,29.8
1107,AL,Pickens County,POV017_2019,1287
1107,AL,Pickens County,CI90LB017_2019,932
1107,AL,Pickens County,CI90UB017_2019,1642
1107,AL,Pickens County,PCTPOV017_2019,34
1107,AL,Pickens County,CI90LB017P_2019,24.6
1107,AL,Pickens County,CI90UB017P_2019,43.4
1107,AL,Pickens County,POV517_2019,912
1107,AL,Pickens County,CI90LB517_2019,638
1107,AL,Pickens County,CI90UB517_2019,1186
1107,AL,Pickens County,PCTPOV517_2019,32.7
1107,AL,Pickens County,CI90LB517P_2019,22.9
1107,AL,Pickens County,CI90UB517P_2019,42.5
1107,AL,Pickens County,MEDHHINC_2019,40249
1107,AL,Pickens County,CI90LBINC_2019,36359
1107,AL,Pickens County,CI90UBINC_2019,44139
1109,AL,Pike County,Rural-urban_Continuum_Code_2003,6
1109,AL,Pike County,Urban_Influence_Code_2003,5
1109,AL,Pike County,Rural-urban_Continuum_Code_2013,6
1109,AL,Pike County,Urban_Influence_Code_2013,5
1109,AL,Pike County,POVALL_2019,6742
1109,AL,Pike County,CI90LBALL_2019,5531
1109,AL,Pike County,CI90UBALL_2019,7953
1109,AL,Pike County,PCTPOVALL_2019,21.8
1109,AL,Pike County,CI90LBALLP_2019,17.9
1109,AL,Pike County,CI90UBALLP_2019,25.7
1109,AL,Pike County,POV017_2019,1842
1109,AL,Pike County,CI90LB017_2019,1366
1109,AL,Pike County,CI90UB017_2019,2318
1109,AL,Pike County,PCTPOV017_2019,29.8
1109,AL,Pike County,CI90LB017P_2019,22.1
1109,AL,Pike County,CI90UB017P_2019,37.5
1109,AL,Pike County,POV517_2019,1165
1109,AL,Pike County,CI90LB517_2019,800
1109,AL,Pike County,CI90UB517_2019,1530
1109,AL,Pike County,PCTPOV517_2019,26.2
1109,AL,Pike County,CI90LB517P_2019,18
1109,AL,Pike County,CI90UB517P_2019,34.4
1109,AL,Pike County,MEDHHINC_2019,41271
1109,AL,Pike County,CI90LBINC_2019,38074
1109,AL,Pike County,CI90UBINC_2019,44468
1111,AL,Randolph County,Rural-urban_Continuum_Code_2003,6
1111,AL,Randolph County,Urban_Influence_Code_2003,4
1111,AL,Randolph County,Rural-urban_Continuum_Code_2013,6
1111,AL,Randolph County,Urban_Influence_Code_2013,4
1111,AL,Randolph County,POVALL_2019,3906
1111,AL,Randolph County,CI90LBALL_2019,2981
1111,AL,Randolph County,CI90UBALL_2019,4831
1111,AL,Randolph County,PCTPOVALL_2019,17.5
1111,AL,Randolph County,CI90LBALLP_2019,13.3
1111,AL,Randolph County,CI90UBALLP_2019,21.7
1111,AL,Randolph County,POV017_2019,1342
1111,AL,Randolph County,CI90LB017_2019,928
1111,AL,Randolph County,CI90UB017_2019,1756
1111,AL,Randolph County,PCTPOV017_2019,28.4
1111,AL,Randolph County,CI90LB017P_2019,19.6
1111,AL,Randolph County,CI90UB017P_2019,37.2
1111,AL,Randolph County,POV517_2019,973
1111,AL,Randolph County,CI90LB517_2019,650
1111,AL,Randolph County,CI90UB517_2019,1296
1111,AL,Randolph County,PCTPOV517_2019,28.1
1111,AL,Randolph County,CI90LB517P_2019,18.8
1111,AL,Randolph County,CI90UB517P_2019,37.4
1111,AL,Randolph County,MEDHHINC_2019,42922
1111,AL,Randolph County,CI90LBINC_2019,38252
1111,AL,Randolph County,CI90UBINC_2019,47592
1113,AL,Russell County,Rural-urban_Continuum_Code_2003,2
1113,AL,Russell County,Urban_Influence_Code_2003,2
1113,AL,Russell County,Rural-urban_Continuum_Code_2013,2
1113,AL,Russell County,Urban_Influence_Code_2013,2
1113,AL,Russell County,POVALL_2019,10823
1113,AL,Russell County,CI90LBALL_2019,8672
1113,AL,Russell County,CI90UBALL_2019,12974
1113,AL,Russell County,PCTPOVALL_2019,18.9
1113,AL,Russell County,CI90LBALLP_2019,15.1
1113,AL,Russell County,CI90UBALLP_2019,22.7
1113,AL,Russell County,POV017_2019,3493
1113,AL,Russell County,CI90LB017_2019,2400
1113,AL,Russell County,CI90UB017_2019,4586
1113,AL,Russell County,PCTPOV017_2019,25.4
1113,AL,Russell County,CI90LB017P_2019,17.4
1113,AL,Russell County,CI90UB017P_2019,33.4
1113,AL,Russell County,POV517_2019,2553
1113,AL,Russell County,CI90LB517_2019,1702
1113,AL,Russell County,CI90UB517_2019,3404
1113,AL,Russell County,PCTPOV517_2019,26.2
1113,AL,Russell County,CI90LB517P_2019,17.5
1113,AL,Russell County,CI90UB517P_2019,34.9
1113,AL,Russell County,MEDHHINC_2019,43670
1113,AL,Russell County,CI90LBINC_2019,39634
1113,AL,Russell County,CI90UBINC_2019,47706
1115,AL,St. Clair County,Rural-urban_Continuum_Code_2003,1
1115,AL,St. Clair County,Urban_Influence_Code_2003,1
1115,AL,St. Clair County,Rural-urban_Continuum_Code_2013,1
1115,AL,St. Clair County,Urban_Influence_Code_2013,1
1115,AL,St. Clair County,POVALL_2019,9780
1115,AL,St. Clair County,CI90LBALL_2019,7485
1115,AL,St. Clair County,CI90UBALL_2019,12075
1115,AL,St. Clair County,PCTPOVALL_2019,11.2
1115,AL,St. Clair County,CI90LBALLP_2019,8.6
1115,AL,St. Clair County,CI90UBALLP_2019,13.8
1115,AL,St. Clair County,POV017_2019,2958
1115,AL,St. Clair County,CI90LB017_2019,2056
1115,AL,St. Clair County,CI90UB017_2019,3860
1115,AL,St. Clair County,PCTPOV017_2019,14.9
1115,AL,St. Clair County,CI90LB017P_2019,10.4
1115,AL,St. Clair County,CI90UB017P_2019,19.4
1115,AL,St. Clair County,POV517_2019,2047
1115,AL,St. Clair County,CI90LB517_2019,1336
1115,AL,St. Clair County,CI90UB517_2019,2758
1115,AL,St. Clair County,PCTPOV517_2019,13.9
1115,AL,St. Clair County,CI90LB517P_2019,9.1
1115,AL,St. Clair County,CI90UB517P_2019,18.7
1115,AL,St. Clair County,MEDHHINC_2019,65403
1115,AL,St. Clair County,CI90LBINC_2019,60872
1115,AL,St. Clair County,CI90UBINC_2019,69934
1117,AL,Shelby County,Rural-urban_Continuum_Code_2003,1
1117,AL,Shelby County,Urban_Influence_Code_2003,1
1117,AL,Shelby County,Rural-urban_Continuum_Code_2013,1
1117,AL,Shelby County,Urban_Influence_Code_2013,1
1117,AL,Shelby County,POVALL_2019,13428
1117,AL,Shelby County,CI90LBALL_2019,10762
1117,AL,Shelby County,CI90UBALL_2019,16094
1117,AL,Shelby County,PCTPOVALL_2019,6.2
1117,AL,Shelby County,CI90LBALLP_2019,5
1117,AL,Shelby County,CI90UBALLP_2019,7.4
1117,AL,Shelby County,POV017_2019,3859
1117,AL,Shelby County,CI90LB017_2019,2665
1117,AL,Shelby County,CI90UB017_2019,5053
1117,AL,Shelby County,PCTPOV017_2019,7.7
1117,AL,Shelby County,CI90LB017P_2019,5.3
1117,AL,Shelby County,CI90UB017P_2019,10.1
1117,AL,Shelby County,POV517_2019,2648
1117,AL,Shelby County,CI90LB517_2019,1733
1117,AL,Shelby County,CI90UB517_2019,3563
1117,AL,Shelby County,PCTPOV517_2019,7
1117,AL,Shelby County,CI90LB517P_2019,4.6
1117,AL,Shelby County,CI90UB517P_2019,9.4
1117,AL,Shelby County,MEDHHINC_2019,77801
1117,AL,Shelby County,CI90LBINC_2019,72962
1117,AL,Shelby County,CI90UBINC_2019,82640
1119,AL,Sumter County,Rural-urban_Continuum_Code_2003,8
1119,AL,Sumter County,Urban_Influence_Code_2003,6
1119,AL,Sumter County,Rural-urban_Continuum_Code_2013,8
1119,AL,Sumter County,Urban_Influence_Code_2013,6
1119,AL,Sumter County,POVALL_2019,4195
1119,AL,Sumter County,CI90LBALL_2019,3328
1119,AL,Sumter County,CI90UBALL_2019,5062
1119,AL,Sumter County,PCTPOVALL_2019,36.4
1119,AL,Sumter County,CI90LBALLP_2019,28.9
1119,AL,Sumter County,CI90UBALLP_2019,43.9
1119,AL,Sumter County,POV017_2019,1055
1119,AL,Sumter County,CI90LB017_2019,748
1119,AL,Sumter County,CI90UB017_2019,1362
1119,AL,Sumter County,PCTPOV017_2019,45.3
1119,AL,Sumter County,CI90LB017P_2019,32.1
1119,AL,Sumter County,CI90UB017P_2019,58.5
1119,AL,Sumter County,POV517_2019,724
1119,AL,Sumter County,CI90LB517_2019,484
1119,AL,Sumter County,CI90UB517_2019,964
1119,AL,Sumter County,PCTPOV517_2019,44.4
1119,AL,Sumter County,CI90LB517P_2019,29.7
1119,AL,Sumter County,CI90UB517P_2019,59.1
1119,AL,Sumter County,MEDHHINC_2019,29209
1119,AL,Sumter County,CI90LBINC_2019,25881
1119,AL,Sumter County,CI90UBINC_2019,32537
1121,AL,Talladega County,Rural-urban_Continuum_Code_2003,4
1121,AL,Talladega County,Urban_Influence_Code_2003,5
1121,AL,Talladega County,Rural-urban_Continuum_Code_2013,4
1121,AL,Talladega County,Urban_Influence_Code_2013,3
1121,AL,Talladega County,POVALL_2019,13326
1121,AL,Talladega County,CI90LBALL_2019,10931
1121,AL,Talladega County,CI90UBALL_2019,15721
1121,AL,Talladega County,PCTPOVALL_2019,17.4
1121,AL,Talladega County,CI90LBALLP_2019,14.3
1121,AL,Talladega County,CI90UBALLP_2019,20.5
1121,AL,Talladega County,POV017_2019,4041
1121,AL,Talladega County,CI90LB017_2019,2991
1121,AL,Talladega County,CI90UB017_2019,5091
1121,AL,Talladega County,PCTPOV017_2019,25.1
1121,AL,Talladega County,CI90LB017P_2019,18.6
1121,AL,Talladega County,CI90UB017P_2019,31.6
1121,AL,Talladega County,POV517_2019,2853
1121,AL,Talladega County,CI90LB517_2019,2035
1121,AL,Talladega County,CI90UB517_2019,3671
1121,AL,Talladega County,PCTPOV517_2019,24
1121,AL,Talladega County,CI90LB517P_2019,17.1
1121,AL,Talladega County,CI90UB517P_2019,30.9
1121,AL,Talladega County,MEDHHINC_2019,47719
1121,AL,Talladega County,CI90LBINC_2019,42968
1121,AL,Talladega County,CI90UBINC_2019,52470
1123,AL,Tallapoosa County,Rural-urban_Continuum_Code_2003,6
1123,AL,Tallapoosa County,Urban_Influence_Code_2003,6
1123,AL,Tallapoosa County,Rural-urban_Continuum_Code_2013,6
1123,AL,Tallapoosa County,Urban_Influence_Code_2013,6
1123,AL,Tallapoosa County,POVALL_2019,6341
1123,AL,Tallapoosa County,CI90LBALL_2019,4940
1123,AL,Tallapoosa County,CI90UBALL_2019,7742
1123,AL,Tallapoosa County,PCTPOVALL_2019,16
1123,AL,Tallapoosa County,CI90LBALLP_2019,12.5
1123,AL,Tallapoosa County,CI90UBALLP_2019,19.5
1123,AL,Tallapoosa County,POV017_2019,2101
1123,AL,Tallapoosa County,CI90LB017_2019,1503
1123,AL,Tallapoosa County,CI90UB017_2019,2699
1123,AL,Tallapoosa County,PCTPOV017_2019,25.9
1123,AL,Tallapoosa County,CI90LB017P_2019,18.5
1123,AL,Tallapoosa County,CI90UB017P_2019,33.3
1123,AL,Tallapoosa County,POV517_2019,1465
1123,AL,Tallapoosa County,CI90LB517_2019,965
1123,AL,Tallapoosa County,CI90UB517_2019,1965
1123,AL,Tallapoosa County,PCTPOV517_2019,24.5
1123,AL,Tallapoosa County,CI90LB517P_2019,16.1
1123,AL,Tallapoosa County,CI90UB517P_2019,32.9
1123,AL,Tallapoosa County,MEDHHINC_2019,47100
1123,AL,Tallapoosa County,CI90LBINC_2019,43289
1123,AL,Tallapoosa County,CI90UBINC_2019,50911
1125,AL,Tuscaloosa County,Rural-urban_Continuum_Code_2003,3
1125,AL,Tuscaloosa County,Urban_Influence_Code_2003,2
1125,AL,Tuscaloosa County,Rural-urban_Continuum_Code_2013,3
1125,AL,Tuscaloosa County,Urban_Influence_Code_2013,2
1125,AL,Tuscaloosa County,POVALL_2019,32226
1125,AL,Tuscaloosa County,CI90LBALL_2019,27146
1125,AL,Tuscaloosa County,CI90UBALL_2019,37306
1125,AL,Tuscaloosa County,PCTPOVALL_2019,16.2
1125,AL,Tuscaloosa County,CI90LBALLP_2019,13.7
1125,AL,Tuscaloosa County,CI90UBALLP_2019,18.7
1125,AL,Tuscaloosa County,POV017_2019,8526
1125,AL,Tuscaloosa County,CI90LB017_2019,6346
1125,AL,Tuscaloosa County,CI90UB017_2019,10706
1125,AL,Tuscaloosa County,PCTPOV017_2019,19.7
1125,AL,Tuscaloosa County,CI90LB017P_2019,14.7
1125,AL,Tuscaloosa County,CI90UB017P_2019,24.7
1125,AL,Tuscaloosa County,POV517_2019,6166
1125,AL,Tuscaloosa County,CI90LB517_2019,4445
1125,AL,Tuscaloosa County,CI90UB517_2019,7887
1125,AL,Tuscaloosa County,PCTPOV517_2019,20
1125,AL,Tuscaloosa County,CI90LB517P_2019,14.4
1125,AL,Tuscaloosa County,CI90UB517P_2019,25.6
1125,AL,Tuscaloosa County,MEDHHINC_2019,52307
1125,AL,Tuscaloosa County,CI90LBINC_2019,49291
1125,AL,Tuscaloosa County,CI90UBINC_2019,55323
1127,AL,Walker County,Rural-urban_Continuum_Code_2003,1
1127,AL,Walker County,Urban_Influence_Code_2003,1
1127,AL,Walker County,Rural-urban_Continuum_Code_2013,1
1127,AL,Walker County,Urban_Influence_Code_2013,1
1127,AL,Walker County,POVALL_2019,10837
1127,AL,Walker County,CI90LBALL_2019,9015
1127,AL,Walker County,CI90UBALL_2019,12659
1127,AL,Walker County,PCTPOVALL_2019,17.3
1127,AL,Walker County,CI90LBALLP_2019,14.4
1127,AL,Walker County,CI90UBALLP_2019,20.2
1127,AL,Walker County,POV017_2019,3282
1127,AL,Walker County,CI90LB017_2019,2437
1127,AL,Walker County,CI90UB017_2019,4127
1127,AL,Walker County,PCTPOV017_2019,23.7
1127,AL,Walker County,CI90LB017P_2019,17.6
1127,AL,Walker County,CI90UB017P_2019,29.8
1127,AL,Walker County,POV517_2019,2347
1127,AL,Walker County,CI90LB517_2019,1699
1127,AL,Walker County,CI90UB517_2019,2995
1127,AL,Walker County,PCTPOV517_2019,23.4
1127,AL,Walker County,CI90LB517P_2019,16.9
1127,AL,Walker County,CI90UB517P_2019,29.9
1127,AL,Walker County,MEDHHINC_2019,45991
1127,AL,Walker County,CI90LBINC_2019,42092
1127,AL,Walker County,CI90UBINC_2019,49890
1129,AL,Washington County,Rural-urban_Continuum_Code_2003,8
1129,AL,Washington County,Urban_Influence_Code_2003,7
1129,AL,Washington County,Rural-urban_Continuum_Code_2013,8
1129,AL,Washington County,Urban_Influence_Code_2013,7
1129,AL,Washington County,POVALL_2019,2998
1129,AL,Washington County,CI90LBALL_2019,2314
1129,AL,Washington County,CI90UBALL_2019,3682
1129,AL,Washington County,PCTPOVALL_2019,18.6
1129,AL,Washington County,CI90LBALLP_2019,14.4
1129,AL,Washington County,CI90UBALLP_2019,22.8
1129,AL,Washington County,POV017_2019,1002
1129,AL,Washington County,CI90LB017_2019,745
1129,AL,Washington County,CI90UB017_2019,1259
1129,AL,Washington County,PCTPOV017_2019,28.2
1129,AL,Washington County,CI90LB017P_2019,21
1129,AL,Washington County,CI90UB017P_2019,35.4
1129,AL,Washington County,POV517_2019,704
1129,AL,Washington County,CI90LB517_2019,516
1129,AL,Washington County,CI90UB517_2019,892
1129,AL,Washington County,PCTPOV517_2019,26.5
1129,AL,Washington County,CI90LB517P_2019,19.4
1129,AL,Washington County,CI90UB517P_2019,33.6
1129,AL,Washington County,MEDHHINC_2019,48864
1129,AL,Washington County,CI90LBINC_2019,43331
1129,AL,Washington County,CI90UBINC_2019,54397
1131,AL,Wilcox County,Rural-urban_Continuum_Code_2003,8
1131,AL,Wilcox County,Urban_Influence_Code_2003,7
1131,AL,Wilcox County,Rural-urban_Continuum_Code_2013,9
1131,AL,Wilcox County,Urban_Influence_Code_2013,10
1131,AL,Wilcox County,POVALL_2019,3329
1131,AL,Wilcox County,CI90LBALL_2019,2583
1131,AL,Wilcox County,CI90UBALL_2019,4075
1131,AL,Wilcox County,PCTPOVALL_2019,32.5
1131,AL,Wilcox County,CI90LBALLP_2019,25.2
1131,AL,Wilcox County,CI90UBALLP_2019,39.8
1131,AL,Wilcox County,POV017_2019,1171
1131,AL,Wilcox County,CI90LB017_2019,825
1131,AL,Wilcox County,CI90UB017_2019,1517
1131,AL,Wilcox County,PCTPOV017_2019,48.9
1131,AL,Wilcox County,CI90LB017P_2019,34.4
1131,AL,Wilcox County,CI90UB017P_2019,63.4
1131,AL,Wilcox County,POV517_2019,805
1131,AL,Wilcox County,CI90LB517_2019,525
1131,AL,Wilcox County,CI90UB517_2019,1085
1131,AL,Wilcox County,PCTPOV517_2019,46
1131,AL,Wilcox County,CI90LB517P_2019,30
1131,AL,Wilcox County,CI90UB517P_2019,62
1131,AL,Wilcox County,MEDHHINC_2019,30998
1131,AL,Wilcox County,CI90LBINC_2019,28340
1131,AL,Wilcox County,CI90UBINC_2019,33656
1133,AL,Winston County,Rural-urban_Continuum_Code_2003,6
1133,AL,Winston County,Urban_Influence_Code_2003,4
1133,AL,Winston County,Rural-urban_Continuum_Code_2013,6
1133,AL,Winston County,Urban_Influence_Code_2013,4
1133,AL,Winston County,POVALL_2019,3882
1133,AL,Winston County,CI90LBALL_2019,3086
1133,AL,Winston County,CI90UBALL_2019,4678
1133,AL,Winston County,PCTPOVALL_2019,16.7
1133,AL,Winston County,CI90LBALLP_2019,13.3
1133,AL,Winston County,CI90UBALLP_2019,20.1
1133,AL,Winston County,POV017_2019,1059
1133,AL,Winston County,CI90LB017_2019,729
1133,AL,Winston County,CI90UB017_2019,1389
1133,AL,Winston County,PCTPOV017_2019,22.5
1133,AL,Winston County,CI90LB017P_2019,15.5
1133,AL,Winston County,CI90UB017P_2019,29.5
1133,AL,Winston County,POV517_2019,741
1133,AL,Winston County,CI90LB517_2019,488
1133,AL,Winston County,CI90UB517_2019,994
1133,AL,Winston County,PCTPOV517_2019,21.5
1133,AL,Winston County,CI90LB517P_2019,14.2
1133,AL,Winston County,CI90UB517P_2019,28.8
1133,AL,Winston County,MEDHHINC_2019,40827
1133,AL,Winston County,CI90LBINC_2019,36204
1133,AL,Winston County,CI90UBINC_2019,45450
2000,AK,Alaska,POVALL_2019,73033
2000,AK,Alaska,CI90LBALL_2019,68640
2000,AK,Alaska,CI90UBALL_2019,77426
2000,AK,Alaska,PCTPOVALL_2019,10.2
2000,AK,Alaska,CI90LBALLP_2019,9.6
2000,AK,Alaska,CI90UBALLP_2019,10.8
2000,AK,Alaska,POV017_2019,23110
2000,AK,Alaska,CI90LB017_2019,21326
2000,AK,Alaska,CI90UB017_2019,24894
2000,AK,Alaska,PCTPOV017_2019,13.2
2000,AK,Alaska,CI90LB017P_2019,12.2
2000,AK,Alaska,CI90UB017P_2019,14.2
2000,AK,Alaska,POV517_2019,14945
2000,AK,Alaska,CI90LB517_2019,13473
2000,AK,Alaska,CI90UB517_2019,16417
2000,AK,Alaska,PCTPOV517_2019,11.9
2000,AK,Alaska,CI90LB517P_2019,10.7
2000,AK,Alaska,CI90UB517P_2019,13.1
2000,AK,Alaska,MEDHHINC_2019,77203
2000,AK,Alaska,CI90LBINC_2019,74942
2000,AK,Alaska,CI90UBINC_2019,79464
2000,AK,Alaska,POV04_2019,7350
2000,AK,Alaska,CI90LB04_2019,6443
2000,AK,Alaska,CI90UB04_2019,8257
2000,AK,Alaska,PCTPOV04_2019,14.9
2000,AK,Alaska,CI90LB04P_2019,13.1
2000,AK,Alaska,CI90UB04P_2019,16.7
2013,AK,Aleutians East Borough,Rural-urban_Continuum_Code_2003,9
2013,AK,Aleutians East Borough,Urban_Influence_Code_2003,12
2013,AK,Aleutians East Borough,Rural-urban_Continuum_Code_2013,9
2013,AK,Aleutians East Borough,Urban_Influence_Code_2013,12
2013,AK,Aleutians East Borough,POVALL_2019,492
2013,AK,Aleutians East Borough,CI90LBALL_2019,342
2013,AK,Aleutians East Borough,CI90UBALL_2019,642
2013,AK,Aleutians East Borough,PCTPOVALL_2019,14.8
2013,AK,Aleutians East Borough,CI90LBALLP_2019,10.3
2013,AK,Aleutians East Borough,CI90UBALLP_2019,19.3
2013,AK,Aleutians East Borough,POV017_2019,33
2013,AK,Aleutians East Borough,CI90LB017_2019,23
2013,AK,Aleutians East Borough,CI90UB017_2019,43
2013,AK,Aleutians East Borough,PCTPOV017_2019,13.4
2013,AK,Aleutians East Borough,CI90LB017P_2019,9.5
2013,AK,Aleutians East Borough,CI90UB017P_2019,17.3
2013,AK,Aleutians East Borough,POV517_2019,21
2013,AK,Aleutians East Borough,CI90LB517_2019,14
2013,AK,Aleutians East Borough,CI90UB517_2019,28
2013,AK,Aleutians East Borough,PCTPOV517_2019,11.6
2013,AK,Aleutians East Borough,CI90LB517P_2019,7.6
2013,AK,Aleutians East Borough,CI90UB517P_2019,15.6
2013,AK,Aleutians East Borough,MEDHHINC_2019,66923
2013,AK,Aleutians East Borough,CI90LBINC_2019,58706
2013,AK,Aleutians East Borough,CI90UBINC_2019,75140
2016,AK,Aleutians West Census Area,Rural-urban_Continuum_Code_2003,7
2016,AK,Aleutians West Census Area,Urban_Influence_Code_2003,11
2016,AK,Aleutians West Census Area,Rural-urban_Continuum_Code_2013,9
2016,AK,Aleutians West Census Area,Urban_Influence_Code_2013,11
2016,AK,Aleutians West Census Area,POVALL_2019,414
2016,AK,Aleutians West Census Area,CI90LBALL_2019,289
2016,AK,Aleutians West Census Area,CI90UBALL_2019,539
2016,AK,Aleutians West Census Area,PCTPOVALL_2019,7.6
2016,AK,Aleutians West Census Area,CI90LBALLP_2019,5.3
2016,AK,Aleutians West Census Area,CI90UBALLP_2019,9.9
2016,AK,Aleutians West Census Area,POV017_2019,34
2016,AK,Aleutians West Census Area,CI90LB017_2019,21
2016,AK,Aleutians West Census Area,CI90UB017_2019,47
2016,AK,Aleutians West Census Area,PCTPOV017_2019,5.4
2016,AK,Aleutians West Census Area,CI90LB017P_2019,3.3
2016,AK,Aleutians West Census Area,CI90UB017P_2019,7.5
2016,AK,Aleutians West Census Area,POV517_2019,23
2016,AK,Aleutians West Census Area,CI90LB517_2019,13
2016,AK,Aleutians West Census Area,CI90UB517_2019,33
2016,AK,Aleutians West Census Area,PCTPOV517_2019,5.2
2016,AK,Aleutians West Census Area,CI90LB517P_2019,3
2016,AK,Aleutians West Census Area,CI90UB517P_2019,7.4
2016,AK,Aleutians West Census Area,MEDHHINC_2019,84726
2016,AK,Aleutians West Census Area,CI90LBINC_2019,75414
2016,AK,Aleutians West Census Area,CI90UBINC_2019,94038
2020,AK,Anchorage Borough,Rural-urban_Continuum_Code_2003,2
2020,AK,Anchorage Borough,Urban_Influence_Code_2003,2
2020,AK,Anchorage Borough,Rural-urban_Continuum_Code_2013,2
2020,AK,Anchorage Borough,Urban_Influence_Code_2013,2
2020,AK,Anchorage Borough,POVALL_2019,26636
2020,AK,Anchorage Borough,CI90LBALL_2019,23071
2020,AK,Anchorage Borough,CI90UBALL_2019,30201
2020,AK,Anchorage Borough,PCTPOVALL_2019,9.5
2020,AK,Anchorage Borough,CI90LBALLP_2019,8.2
2020,AK,Anchorage Borough,CI90UBALLP_2019,10.8
2020,AK,Anchorage Borough,POV017_2019,7383
2020,AK,Anchorage Borough,CI90LB017_2019,5782
2020,AK,Anchorage Borough,CI90UB017_2019,8984
2020,AK,Anchorage Borough,PCTPOV017_2019,11
2020,AK,Anchorage Borough,CI90LB017P_2019,8.6
2020,AK,Anchorage Borough,CI90UB017P_2019,13.4
2020,AK,Anchorage Borough,POV517_2019,4730
2020,AK,Anchorage Borough,CI90LB517_2019,3554
2020,AK,Anchorage Borough,CI90UB517_2019,5906
2020,AK,Anchorage Borough,PCTPOV517_2019,9.9
2020,AK,Anchorage Borough,CI90LB517P_2019,7.4
2020,AK,Anchorage Borough,CI90UB517P_2019,12.4
2020,AK,Anchorage Borough,MEDHHINC_2019,82512
2020,AK,Anchorage Borough,CI90LBINC_2019,79074
2020,AK,Anchorage Borough,CI90UBINC_2019,85950
2050,AK,Bethel Census Area,Rural-urban_Continuum_Code_2003,7
2050,AK,Bethel Census Area,Urban_Influence_Code_2003,11
2050,AK,Bethel Census Area,Rural-urban_Continuum_Code_2013,7
2050,AK,Bethel Census Area,Urban_Influence_Code_2013,11
2050,AK,Bethel Census Area,POVALL_2019,4249
2050,AK,Bethel Census Area,CI90LBALL_2019,3430
2050,AK,Bethel Census Area,CI90UBALL_2019,5068
2050,AK,Bethel Census Area,PCTPOVALL_2019,23.5
2050,AK,Bethel Census Area,CI90LBALLP_2019,19
2050,AK,Bethel Census Area,CI90UBALLP_2019,28
2050,AK,Bethel Census Area,POV017_2019,2013
2050,AK,Bethel Census Area,CI90LB017_2019,1453
2050,AK,Bethel Census Area,CI90UB017_2019,2573
2050,AK,Bethel Census Area,PCTPOV017_2019,31.6
2050,AK,Bethel Census Area,CI90LB017P_2019,22.8
2050,AK,Bethel Census Area,CI90UB017P_2019,40.4
2050,AK,Bethel Census Area,POV517_2019,1329
2050,AK,Bethel Census Area,CI90LB517_2019,886
2050,AK,Bethel Census Area,CI90UB517_2019,1772
2050,AK,Bethel Census Area,PCTPOV517_2019,29.9
